effective_time,version,brand_name,generic_names,manufacturer_names,product_ndcs,package_ndcs,upcs,route,product_type,substance_names,uniis,pharm_class_epc,pharm_class_pe,pharm_class_cs,spl_id,spl_set_id,is_original_packager
20210101,14,"Olmesartan Medoxomil, Amlodipine and Hydrochlorothiazide","['OLMESARTAN MEDOXOMIL, AMLODIPINE AND HYDROCHLOROTHIAZIDE']","['Teva Pharmaceuticals USA, Inc.']","['0093-5002', '0093-5005', '0093-5006', '0093-5004', '0093-5003']","['0093-5005-56', '0093-5006-56', '0093-5004-56', '0093-5003-56', '0093-5002-56']",[],['ORAL'],['HUMAN PRESCRIPTION DRUG'],"['AMLODIPINE BESYLATE', 'HYDROCHLOROTHIAZIDE', 'OLMESARTAN MEDOXOMIL']","['6M97XTV3HD', '0J48LPH2TH', '864V2Q084H']",['Thiazide Diuretic [EPC]'],['Increased Diuresis [PE]'],['Thiazides [CS]'],['a035edd9-948f-4168-b74b-9961a2cb219a'],['5c128ef2-60a6-40f3-b37f-ee139fe27987'],[True]
20231101,8,omeprazole sodium bicarbonate,['OMEPRAZOLE SODIUM BICARBONATE'],['Cipla USA Inc.'],"['69097-913', '69097-914']","['69097-913-02', '69097-913-12', '69097-914-02', '69097-914-12']","['0369097914028', '0369097913021']",['ORAL'],['HUMAN PRESCRIPTION DRUG'],"['OMEPRAZOLE', 'SODIUM BICARBONATE']","['8MDF5V39QO', 'KG60484QX9']",['Proton Pump Inhibitor [EPC]'],[],[],['d7eae0fc-9dfd-48d5-9491-e785fd66d5ec'],['9cdde58a-ae8a-451f-92cf-cab178e4ba92'],[True]
20210101,3,Losartan Potassium and Hydrochlorothiazide,['LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE'],['Proficient Rx LP'],"['63187-599', '63187-602']","['63187-599-30', '63187-599-60', '63187-599-90', '63187-602-30', '63187-602-60', '63187-602-90']",[],['ORAL'],['HUMAN PRESCRIPTION DRUG'],"['HYDROCHLOROTHIAZIDE', 'LOSARTAN POTASSIUM']","['3ST302B24A', '0J48LPH2TH']",['Thiazide Diuretic [EPC]'],['Increased Diuresis [PE]'],['Thiazides [CS]'],['c925be88-1cf9-4631-9d10-d6cca5e94765'],['198d5151-7982-4639-9fe1-6573a4529348'],[]
20240110,13,bisoprolol fumarate and hydrochlorothiazide,['BISOPROLOL FUMARATE AND HYDROCHLOROTHIAZIDE'],"['Unichem Pharmaceuticals (USA), Inc.']","['29300-187', '29300-188', '29300-189']","['29300-187-13', '29300-187-01', '29300-187-05', '29300-187-10', '29300-188-13', '29300-188-01', '29300-188-05', '29300-188-10', '29300-189-13', '29300-189-01', '29300-189-05', '29300-189-10']",[],['ORAL'],['HUMAN PRESCRIPTION DRUG'],"['BISOPROLOL FUMARATE', 'HYDROCHLOROTHIAZIDE']","['UR59KN573L', '0J48LPH2TH']",['Thiazide Diuretic [EPC]'],['Increased Diuresis [PE]'],['Thiazides [CS]'],['057844aa-5d7e-4e83-b71f-9072d2a2b93d'],['b9ee689a-ea12-435d-b01c-70d45891e62f'],[True]
20230918,2,Multi-Vit-Flor,"['SODIUM FLUORIDE, VITAMIN A ACETATE, SODIUM ASCORBATE, CHOLECALCIFEROL, .ALPHA.-TOCOPHEROL, D-, THIAMINE HYDROCHLORIDE, RIBOFLAVIN, NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE, LEVOMEFOLATE CALCIUM, AND CYANOCOBALAMIN']",['Cameron Pharmaceuticals'],"['42494-432', '42494-434', '42494-433']","['42494-434-30', '42494-433-30', '42494-432-30']","['0342494432302', '0342494433309', '0342494434306']",['ORAL'],['HUMAN PRESCRIPTION DRUG'],"['.ALPHA.-TOCOPHEROL, D-', 'CHOLECALCIFEROL', 'CYANOCOBALAMIN', 'LEVOMEFOLATE CALCIUM', 'NIACINAMIDE', 'PYRIDOXINE HYDROCHLORIDE', 'RIBOFLAVIN', 'SODIUM ASCORBATE', 'SODIUM FLUORIDE', 'THIAMINE HYDROCHLORIDE', 'VITAMIN A ACETATE']","['68Y4CF58BV', 'TLM2976OFR', 'P6YC3EG204', 'M572600E5P', 'S033EH8359', '25X51I8RD4', '1C6V77QF41', '3LE3D9D6OY', 'A9R10K3F2F', '8ZYQ1474W7', 'N9PR3490H9']","['Vitamin B12 [EPC]', 'Vitamin D [EPC]']",[],"['Vitamin B 12 [CS]', 'Vitamin D [CS]']",['016e6a8f-be63-40b3-83c1-ebed6586bd4f'],['9e1563f2-3f75-4422-9ef7-36f2ee3a595b'],[True]
20240423,3,JUST CBD - CBD AND THC ULTRA RELIEF,"['MENTHOL, CAMPHOR']",['Just Brands LLC'],"['73647-026', '73647-062']","['73647-062-04', '73647-026-04']",[],['TOPICAL'],['HUMAN OTC DRUG'],"['CAMPHOR (SYNTHETIC)', 'MENTHOL']","['L7T10EIP3A', '5TJD82A1ET']",[],[],[],['16c906dd-6989-9a79-e063-6394a90afa71'],['f664eb79-8897-3a49-e053-2995a90a37b4'],[True]
20240110,4,Quflora Pediatric,"['VITAMIN A ACETATE, ASCORBIC ACID, CHOLECALCIFEROL, .ALPHA.-TOCOPHEROL, DL-, THIAMINE HYDROCHLORIDE, RIBOFLAVIN, NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE, LEVOMEFOLIC ACID, FOLIC ACID, CYANOCOBALAMIN, MAGNESIUM OXIDE, CUPRIC SULFATE, AND SODIUM FLUORIDE']","['CarWin Pharmaceutical Associates, LLC']","['15370-103', '15370-104', '15370-105']","['15370-103-30', '15370-104-30', '15370-105-30']",[],['ORAL'],['HUMAN PRESCRIPTION DRUG'],"['.ALPHA.-TOCOPHEROL, DL-', 'ASCORBIC ACID', 'CHOLECALCIFEROL', 'CUPRIC SULFATE', 'CYANOCOBALAMIN', 'FOLIC ACID', 'LEVOMEFOLIC ACID', 'MAGNESIUM OXIDE', 'NIACINAMIDE', 'PYRIDOXINE HYDROCHLORIDE', 'RIBOFLAVIN', 'SODIUM FLUORIDE', 'THIAMINE HYDROCHLORIDE', 'VITAMIN A ACETATE']","['935E97BOY8', '68Y4CF58BV', 'TLM2976OFR', 'P6YC3EG204', 'M572600E5P', 'LRX7AJ16DT', '7QWA1RIO01', '8S95DH25XC', '25X51I8RD4', 'PQ6CK8PD0R', '1C6V77QF41', '3LE3D9D6OY', '8ZYQ1474W7', '3A3U0GI71G']","['Vitamin B12 [EPC]', 'Folate Analog [EPC]', 'Vitamin C [EPC]', 'Vitamin D [EPC]']",[],"['Vitamin B 12 [CS]', 'Folic Acid [CS]', 'Ascorbic Acid [CS]', 'Vitamin D [CS]']",['0ad40f28-c81d-440a-8c07-d59f667487ed'],['b8e08798-d8bb-4616-996b-a2c07a5d730a'],[True]
20240409,9,SENSODYNE PRONAMEL Intensive Enamel Repair Whitening,['POTASSIUM NITRATE AND SODIUM FLUORIDE'],['Haleon US Holdings LLC'],"['0135-0481', '0135-0492', '0135-0486']","['0135-0492-01', '0135-0492-02', '0135-0492-03', '0135-0486-01', '0135-0486-02', '0135-0481-01', '0135-0481-02']",[],['ORAL'],['HUMAN OTC DRUG'],"['POTASSIUM NITRATE', 'SODIUM FLUORIDE']","['RU45X2JN0Z', '8ZYQ1474W7']",[],[],[],['15b02d4b-6d0e-94f2-e063-6394a90a6f10'],['a2f9d58b-671b-4427-a971-1fceff5f2323'],[True]
20250226,7,Piperacillin and Tazobactam,['PIPERACILLIN SODIUM AND TAZOBACTAM SODIUM'],['Provepharm Inc.'],"['81284-154', '81284-155']","['81284-154-00', '81284-154-01', '81284-155-00', '81284-155-01']",[],['INTRAVENOUS'],['HUMAN PRESCRIPTION DRUG'],"['PIPERACILLIN SODIUM', 'TAZOBACTAM SODIUM']","['M98T69Q7HP', 'UXA545ABTT']",[],[],[],['1c01a9c8-0256-4129-adc7-38d1f3cf2183'],['68d5384d-1691-4afc-8a1a-488f8e2ef2c5'],[True]
20241209,8,RIZATRIPTAN BENZOATE,['RIZATRIPTAN BENZOATE'],['Panacea Biotec Limited'],"['43817-133', '43817-135']","['43817-133-03', '43817-133-04', '43817-135-03', '43817-135-04']","['0343817135047', '0343817135030', '0343817133036']",['ORAL'],['HUMAN PRESCRIPTION DRUG'],['RIZATRIPTAN BENZOATE'],['WR978S7QHH'],[],[],[],['28d0cbcc-59cc-7cf4-e063-6294a90a9b53'],['9c70370d-72ac-e062-e25c-97d57e6397ab'],[True]
20241024,1,Amoxicillin and Clavulanate Potassium,['AMOXICILLIN AND CLAVULANATE POTASSIUM'],"['Asclemed USA, Inc.']","['76420-859', '76420-864']","['76420-859-50', '76420-859-75', '76420-859-01', '76420-864-50', '76420-864-75', '76420-864-01']",[],['ORAL'],['HUMAN PRESCRIPTION DRUG'],"['AMOXICILLIN', 'CLAVULANATE POTASSIUM']","['804826J2HU', 'Q42OMW3AT8']",[],[],[],['25322eee-f92a-5838-e063-6394a90aa376'],['fc5dc69a-3c23-49fc-b80f-1412aebc9b76'],[]
20250716,32,Truvada,['EMTRICITABINE AND TENOFOVIR DISOPROXIL FUMARATE'],"['Gilead Sciences, Inc']","['61958-0701', '61958-0703', '61958-0704', '61958-0705']","['61958-0701-1', '61958-0703-1', '61958-0704-1', '61958-0705-1']",[],['ORAL'],['HUMAN PRESCRIPTION DRUG'],"['EMTRICITABINE', 'TENOFOVIR DISOPROXIL FUMARATE']","['G70B4ETF4S', 'OTT9J7900I']",['Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC]'],[],['Nucleosides [CS]'],['32422ee8-1cdc-4305-bb3e-0458472513fc'],['54e82b13-a037-49ed-b4b3-030b37c0ecdd'],[True]
20241227,1,Glow Oil SPF 50 Beach Flower,"['AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE']","['Supergoop, LLC']","['75936-654', '75936-655']","['75936-655-01', '75936-654-01']",['0816218029463'],['TOPICAL'],['HUMAN OTC DRUG'],"['AVOBENZONE', 'HOMOSALATE', 'OCTISALATE', 'OCTOCRYLENE']","['V06SV4M95S', 'G63QQF2NOX', '5A68WGF6WM', '4X49Y0596W']",[],[],[],['2a46e0db-6f3b-5864-e063-6294a90a0f9c'],['2a46d7d2-293f-5024-e063-6294a90a31aa'],[True]
20250529,1,Dissolvable Microneedle Blemish Patches,['SALICYLIC ACID'],"['Advaccine Biopharmaceuticals Suzhou Co., Ltd']",['84895-102'],"['84895-102-06', '84895-102-12']",[],['TOPICAL'],['HUMAN OTC DRUG'],['SALICYLIC ACID'],['O414PZ4LPZ'],[],[],[],['3640d25a-e49b-e931-e063-6294a90a003b'],['3640d29e-7e4c-b3be-e063-6394a90a0d9e'],[True]
20250205,8,Treatment,['ZINC PYRITHIONE'],"['Zero Flakes Given, Inc.']",['73528-400'],"['73528-400-03', '73528-400-02', '73528-400-01', '73528-400-04']",[],['TOPICAL'],['HUMAN OTC DRUG'],['PYRITHIONE ZINC'],['R953O2RHZ5'],[],[],[],['2d6c6076-d7c9-e793-e063-6294a90ac3b0'],['984816e3-3096-44c6-e053-2995a90af1aa'],[True]
20251015,3,Blume Sunburst Sunscreen,['ZINC OXIDE'],['Blume'],['83656-2106'],"['83656-2106-1', '83656-2106-2']",[],['TOPICAL'],['HUMAN OTC DRUG'],['ZINC OXIDE'],['SOI2LOH54Z'],[],[],[],['4134b186-b3a0-a307-e063-6394a90a223a'],['21ef2c6b-8ae7-8bcf-e063-6294a90ae9e1'],[True]
20251015,4,Nufabrx Medicine Infused Socks,['CAPSAICIN'],['Nufabrx LLC'],['72490-037'],['72490-037-10'],[],['TOPICAL'],['HUMAN OTC DRUG'],['CAPSAICIN'],['S07O44R1ZM'],[],[],[],['413538ab-9f90-4220-e063-6394a90a7bbf'],['013cb66f-8695-b69f-e063-6294a90a699c'],[True]
20231001,5,Cephalexin,['CEPHALEXIN'],"['Teva Pharmaceuticals USA, Inc.']","['0093-2238', '0093-2240']","['0093-2238-01', '0093-2240-01']",[],['ORAL'],['HUMAN PRESCRIPTION DRUG'],['CEPHALEXIN'],['OBN7UDS42Y'],[],[],[],['39e510b0-2478-4e34-81a1-20f002a6ae35'],['445b2a87-2e4f-483a-abe8-26fefd67514a'],[True]
20251015,21,Glimepiride,['GLIMEPIRIDE'],"['PD-Rx Pharmaceuticals, Inc.']",['43063-121'],"['43063-121-30', '43063-121-90']",['0343063121900'],['ORAL'],['HUMAN PRESCRIPTION DRUG'],['GLIMEPIRIDE'],['6KY687524K'],['Sulfonylurea [EPC]'],[],['Sulfonylurea Compounds [CS]'],['4137398e-13df-7c18-e063-6394a90ac45d'],['657f1b51-2f82-44f6-a23d-97f4b34b3c45'],[]
20251015,21,Fluconazole,['FLUCONAZOLE'],"['PD-Rx Pharmaceuticals, Inc.']",['43063-645'],['43063-645-10'],['0343063645109'],['ORAL'],['HUMAN PRESCRIPTION DRUG'],['FLUCONAZOLE'],['8VZV102JFY'],['Azole Antifungal [EPC]'],[],['Azoles [CS]'],['4139d4e5-b633-82bb-e063-6394a90adf79'],['28d53f27-a0cd-4d8d-e054-00144ff8d46c'],[]
20251015,1,SOUTH MOON Massage Cream,['GLYCERIN'],"['Shantou South Moon Biotechnology Co., Ltd.']",['84983-016'],['84983-016-01'],[],['TOPICAL'],['HUMAN OTC DRUG'],"['CLOVE OIL', 'OLIVE OIL']","['578389D6D0', '6UYK2W1W1E']",['Lipid Emulsion [EPC]'],[],['Lipids [CS]'],['413e3dc6-0162-2837-e063-6394a90a66fe'],['413e3dc6-0161-2837-e063-6394a90a66fe'],[True]
20250617,85,Humalog,['INSULIN LISPRO'],['Eli Lilly and Company'],"['0002-7510', '0002-7533', '0002-8799', '0002-7516', '0002-7714', '0002-8213', '0002-0800', '0002-7712', '0002-8208']","['0002-7510-01', '0002-7510-17', '0002-7510-99', '0002-7533-01', '0002-8799-01', '0002-8799-59', '0002-8799-61', '0002-7516-01', '0002-7516-59', '0002-7516-99', '0002-7714-01', '0002-7714-59', '0002-7714-61', '0002-8213-01', '0002-8213-05', '0002-0800-01', '0002-7712-01', '0002-7712-27', '0002-7712-61', '0002-8208-01', '0002-8208-27']",[],"['INTRAVENOUS', 'SUBCUTANEOUS']",['HUMAN PRESCRIPTION DRUG'],['INSULIN LISPRO'],"['059QF0KO0R', 'GFX7QIS1II']",['Insulin Analog [EPC]'],[],['Insulin [Chemical/Ingredient]'],['3d52c48f-89cd-4d3d-8db6-1789e76a1c79'],['c8ecbd7a-0e22-4fc7-a503-faa58c1b6f3f'],[True]
20251015,5,Sunforgettable Total Protection Face Shield Glow,['ZINC OXIDE'],['Colorescience'],['68078-041'],"['68078-041-01', '68078-041-02']",[],['TOPICAL'],['HUMAN OTC DRUG'],['ZINC OXIDE'],['SOI2LOH54Z'],[],[],[],['41360469-1778-8c62-e063-6294a90af1ba'],['cdb5397a-c463-4b41-e053-2a95a90a9e03'],[True]
20251015,22,Cefuroxime axetil,['CEFUROXIME AXETIL'],"['PD-Rx Pharmaceuticals, Inc.']",['43063-657'],"['43063-657-20', '43063-657-60']",['0343063657201'],['ORAL'],['HUMAN PRESCRIPTION DRUG'],['CEFUROXIME AXETIL'],['Z49QDT0J8Z'],[],[],[],['4139efd1-921a-b349-e063-6394a90a0404'],['2af94304-8118-41c7-e054-00144ff8d46c'],[]
20240830,21,olmesartan medoxomil / amlodipine besylate / hydrochlorothiazide,['OLMESARTAN MEDOXOMIL / AMLODIPINE BESYLATE / HYDROCHLOROTHIAZIDE'],"['Endo USA, Inc.']","['49884-786', '49884-790', '49884-788', '49884-789', '49884-787']","['49884-790-09', '49884-790-11', '49884-788-11', '49884-788-09', '49884-789-09', '49884-789-11', '49884-786-11', '49884-786-09', '49884-787-11', '49884-787-09']","['0349884787097', '0349884788094', '0349884786090', '0349884789091', '0349884790097']",['ORAL'],['HUMAN PRESCRIPTION DRUG'],"['AMLODIPINE BESYLATE', 'HYDROCHLOROTHIAZIDE', 'OLMESARTAN MEDOXOMIL']","['6M97XTV3HD', '0J48LPH2TH', '864V2Q084H']",['Thiazide Diuretic [EPC]'],['Increased Diuresis [PE]'],['Thiazides [CS]'],['64db5fb3-c133-422f-9cf5-98e60d98bdc4'],['268d12e8-1cfc-4086-b613-8fd94f2d7c4e'],[True]
20210402,4,Piperacillin and Tazobactam,['PIPERACILLIN AND TAZOBACTAM'],"['Fresenius Kabi USA, LLC']","['63323-981', '63323-983', '63323-982']","['63323-981-41', '63323-981-53', '63323-983-41', '63323-983-53', '63323-982-43', '63323-982-54']",[],['INTRAVENOUS'],['HUMAN PRESCRIPTION DRUG'],"['PIPERACILLIN SODIUM', 'TAZOBACTAM SODIUM']","['M98T69Q7HP', 'UXA545ABTT']",[],[],[],['6487ad37-921c-4994-bef4-38854cdecec9'],['1eb40c84-0cb3-4648-a39f-f4ebc4dbcb16'],[True]
20241118,4,Articaine Hydrochloride and Epinephrine,"['ARTICAINE HYDROCHLORIDE, EPINEPHRINE BITARTRATE']","['Burkhart Dental Supply Co., Inc']","['43498-816', '43498-993']","['43498-816-01', '43498-993-01']",[],['SUBMUCOSAL'],['HUMAN PRESCRIPTION DRUG'],"['ARTICAINE HYDROCHLORIDE', 'EPINEPHRINE BITARTRATE']","['QS9014Q792', '30Q7KI53AK']",[],[],[],['644fa9c3-1491-42e3-9194-9c562617fd06'],['4f11bb06-c71b-4d96-9baa-2a17ad473a05'],[True]
20251015,3,TRIAMCINOLONE ACETONIDE,['TRIAMCINOLONE ACETONIDE'],"['Encube Ethicals, Inc.']",['21922-062'],"['21922-062-04', '21922-062-05', '21922-062-15', '21922-062-30']",[],['TOPICAL'],['HUMAN PRESCRIPTION DRUG'],['TRIAMCINOLONE ACETONIDE'],['F446C597KA'],['Corticosteroid [EPC]'],[],[],['7b796fae-0c7d-4fb6-9141-f4b52db5c85b'],['db87426f-124c-4ea9-bb15-fc3a0da10a4e'],[True]
20210715,6,UNDA 312,"['ANGELICA ARCHANGELICA, DROSERA, GRINDELIA, LAMIUM ALBUM, PINUS SYLVESTRIS, RUBUS FRUTICOSUS, SENEGA OFFICINALIS']",['Seroyal USA'],"['62106-1169', '62106-1171']","['62106-1171-8', '62106-1169-8']",['0883196304608'],['ORAL'],['HUMAN OTC DRUG'],"['ANGELICA ARCHANGELICA ROOT', 'DROSERA ROTUNDIFOLIA FLOWERING TOP', 'GRINDELIA HIRSUTULA FLOWERING TOP', 'LAMIUM ALBUM', 'PINUS SYLVESTRIS LEAFY TWIG', 'POLYGALA SENEGA ROOT', 'RUBUS FRUTICOSUS LEAF']","['O3B55K4YKI', '046Y1357I6', '75O014T1HG', 'IDB0NAZ6AI', 'Q1RGP4UB73', '1TH8Q20J0U', 'DTN01M69SN', 'YQ2S06L8S9', 'M7T6H7D4IF']",[],[],[],['c733ec78-5b43-7a7c-e053-2995a90a2f9a'],['206a5750-2025-205e-e054-00144ff8d46c'],[True]
20231201,1,Guaifenesin and Dextromethorphan HBR,['GUAIFENESIN AND DEXTROMETHORPHAN HBR'],"[""Dr. Reddy's Laboratories Inc.""]","['43598-232', '43598-231']","['43598-231-01', '43598-232-37']",[],['ORAL'],['HUMAN OTC DRUG'],"['DEXTROMETHORPHAN HYDROBROMIDE', 'GUAIFENESIN']","['495W7451VQ', '9D2RTI9KYH']",['Expectorant [EPC]'],"['Decreased Respiratory Secretion Viscosity [PE]', 'Increased Respiratory Secretions [PE]']",[],['cece3211-7645-ed28-b71f-27520119e51f'],['5e95d8c0-d521-45b6-ccaf-7786fbd14d5c'],[True]
20250912,6,Esterified Estrogens and Methyltestosterone,['ESTERIFIED ESTROGENS AND METHYLTESTOSTERONE'],"['ANI Pharmaceuticals, Inc.']","['62559-149', '62559-150']","['62559-149-01', '62559-150-01']","['0362559149013', '0362559150019']",['ORAL'],['HUMAN PRESCRIPTION DRUG'],"['ESTROGENS, ESTERIFIED', 'METHYLTESTOSTERONE']","['3ASP8Q3768', 'V9EFU16ZIF']",['Androgen [EPC]'],[],['Androstanes [CS]'],['027e7148-2471-49b5-9fea-88d7c2d7684c'],['d42eeda8-d810-4481-a403-6a3520b9e69a'],[True]
